opcode         name                       target                     args                                                                                                                                                        kwargs
call_module    blocks_4_3_bn2             blocks.4.3.bn2             (blocks_4_3_conv_dw,)                                                                                                                                       {}
call_module    blocks_4_3_act2            blocks.4.3.act2            (blocks_4_3_bn2,)                                                                                                                                           {}
call_method    mean_16                    mean                       (blocks_4_3_act2, (2, 3))                                                                                                                                   {'keepdim': True}
call_module    blocks_4_3_se_conv_reduce  blocks.4.3.se.conv_reduce  (mean_16,)                                                                                                                                                  {}
call_module    blocks_4_3_se_act1         blocks.4.3.se.act1         (blocks_4_3_se_conv_reduce,)                                                                                                                                {}
call_module    blocks_4_3_se_conv_expand  blocks.4.3.se.conv_expand  (blocks_4_3_se_act1,)                                                                                                                                       {}
call_module    blocks_4_3_se_gate         blocks.4.3.se.gate         (blocks_4_3_se_conv_expand,)                                                                                                                                {}
call_function  mul_16                     <built-in function mul>    (blocks_4_3_act2, blocks_4_3_se_gate)                                                                                                                       {}
call_module    blocks_4_3_conv_pwl        blocks.4.3.conv_pwl        (mul_16,)                                                                                                                                                   {}
call_module    blocks_4_3_bn3             blocks.4.3.bn3             (blocks_4_3_conv_pwl,)                                                                                                                                      {}
